ID;redni_broj_uzorkovanja;dan;tjedan;smjena;SAV_S;EKST_S;OTV_S;A2;N2;SEU;HUM_S;IMP_S;NEG_VAL_S;COMPLEX_S;TIP_S;POS_VAL_S;ADVER_S
16654540;1;1;1;2;6;6;6,5;7;3;4,66666666666667;4,66666666666667;6,33333333333333;1;6;6;5,33333333333333;2,33333333333333
16654540;2;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;3;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;4;2;1;1;5;5,5;7;4;5;5,33333333333333;5,33333333333333;6;2,66666666666667;5,66666666666667;6;5,66666666666667;2
16654540;5;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;6;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;7;3;1;1;5,5;6;6,5;6;2;6;6;5,66666666666667;2;5,66666666666667;5,66666666666667;5,66666666666667;3,66666666666667
16654540;8;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;9;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;10;4;1;1;4;5,5;5,5;6;3;4,33333333333333;3,33333333333333;5,66666666666667;2;5;6;5,33333333333333;3
16654540;11;4;1;2;6;6;6,5;2;4;2;5,66666666666667;6;2;5,33333333333333;5,66666666666667;5,66666666666667;4,66666666666667
16654540;12;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;13;5;1;2;5,5;5;6;5;4;4,66666666666667;4,66666666666667;4,33333333333333;4;4,33333333333333;5;5;3,33333333333333
16654540;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;15;5;1;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;19;2;2;1;6;6;4;6;2;4,66666666666667;4;5;3;4,66666666666667;5;5;4,66666666666667
16654540;20;2;2;2;5;5,5;6;6;5;3;3,33333333333333;5;3,33333333333333;5;5;4;3
16654540;21;2;2;2;5,5;4,5;4,5;2;6;2,66666666666667;4,33333333333333;4,33333333333333;4,66666666666667;3,33333333333333;4;3,66666666666667;4
16654540;22;3;2;1;6;6;7;4;6;4;5;6;2;4,66666666666667;5,66666666666667;4,66666666666667;2
16654540;23;3;2;1;6;6;6,5;4;5;5;3,66666666666667;5;2;4;5;4;2
16654540;24;3;2;1;6;5,5;7;4;4;5,66666666666667;3,66666666666667;3,33333333333333;2,66666666666667;6;5,33333333333333;4;3,66666666666667
16654540;25;4;2;1;4,5;4;4;4;6;3,66666666666667;3;5;4,33333333333333;5;5;3,33333333333333;4,66666666666667
16654540;26;4;2;2;6;5,5;6,5;3;4;6;5;6,33333333333333;3;6;6;5,33333333333333;3,33333333333333
16654540;27;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;28; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;29; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16654540;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
